File,Original,Used on,Placement,object-position,Alt text
hero-welcome-dean-chang.jpg,0F9A3989.jpg,Home,"Hero, right column",center (default),Dean Chang delivering the welcome at the UMD Startup Showcase
networking-attendees.jpg,0F9A4208.jpg,Home + 2025,Sponsorship band left column; 2025 photo grid #3,40% center,Attendees networking at the UMD Startup Showcase
exhibit-hall-technik-demo.jpg,0F9A4733.jpg,Home,Photo triptych #1,center,The Technik Soccer team at their exhibit hall demo
exhibit-hall-exhibitor-table.jpg,0F9A4709.jpg,Home,Photo triptych #2,center,Attendees talking at an exhibitor table in the showcase exhibit hall
quick-pitch-founder.jpg,0F9A4237.jpg,Home,Photo triptych #3,center,A founder delivering a quick pitch at the UMD Startup Showcase
quick-pitch-presenter.jpg,0F9A4456.jpg,Home,Program band right column,58% center,A founder presenting during the quick pitch session
attendees-closing-band.jpg,0F9A4776.jpg,Home + 2025,Closing band right column; 2025 photo grid #6,center,Attendees at the UMD Startup Showcase
audience-quick-pitch-session.jpg,0F9A4184.jpg,2025,Photo grid #1,center,Attendees watching the quick pitch session
founder-pitching-room.jpg,0F9A4311.jpg,2025,Photo grid #2,center,A founder pitching to the room
hight-tech-produce.jpg,0F9A4841.jpg,2025,Photo grid #4,center,A HighT-Tech founder showing produce grown with their technology
exhibit-hall-table-attendees.jpg,0F9A4813.jpg,2025,Photo grid #5,center,Attendees at an exhibitor table in the exhibit hall
unused/panel-funding-landscape.jpg,0F9A4026.jpg,—,not placed,—,Panelists discussing Navigating the Funding Landscape
