Order,Name,Logo file,Website,Scale baked into file
1,Mtech,sponsor-mtech.png,https://www.mtech.umd.edu/,1
2,PTP,sponsor-ptp.png,https://ptp.cloud/,0.95
3,TEDCO,sponsor-tedco.png,https://www.tedcomd.com/,0.95
4,Terrapin Development Company,sponsor-terrapin-development-company.png,https://www.terrapindevelopment.com/,0.95
5,Wilson Sonsini,sponsor-wilson-sonsini.png,https://www.wsgr.com/en/,0.8
6,Resensys,sponsor-resensys.png,https://resensys.com/,1
7,Cahill,sponsor-cahill.png,https://www.cahill.com/,0.85
8,CSW IP Law,sponsor-csw-ip-law.png,https://www.rcsc-ip.com/,0.95
9,Lex Generalis,sponsor-lex-generalis.png,https://www.lexgeneralis.com/,1
10,Snyder Cohn,sponsor-snyder-cohn.png,https://www.snydercohn.com,1
